,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
37,26049347,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,RUR,,,,,,,46,46.14153,,,,2021-06-23T13:15:40.067+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
38,26049348,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,56,56.08651,,,,2021-06-23T13:15:40.083+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
39,26049349,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,URB,,,,,,,87,86.93978,,,,2021-06-23T13:15:40.113+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
40,26049350,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,RUR,,,,,,,47,46.8539,,,,2021-06-23T13:15:40.13+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
41,26049351,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,57,56.7939,,,,2021-06-23T13:15:40.147+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
42,26049352,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,URB,,,,,,,87,86.94425,,,,2021-06-23T13:15:40.16+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
43,26049353,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,RUR,,,,,,,48,47.56411,,,,2021-06-23T13:15:40.177+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
44,26049354,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,57,57.4973,,,,2021-06-23T13:15:40.21+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
45,26049355,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,URB,,,,,,,87,86.9487,,,,2021-06-23T13:15:40.223+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
46,26049356,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,RUR,,,,,,,48,48.27216,,,,2021-06-23T13:15:40.257+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
47,26049357,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,58,58.19693,,,,2021-06-23T13:15:40.27+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
48,26049358,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,URB,,,,,,,87,86.95315,,,,2021-06-23T13:15:40.303+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
49,26049359,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,RUR,,,,,,,49,48.97805,,,,2021-06-23T13:15:40.317+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
50,26049360,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,59,58.8926,,,,2021-06-23T13:15:40.333+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
51,26049361,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,URB,,,,,,,87,86.95758,,,,2021-06-23T13:15:40.367+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
52,26049362,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,RUR,,,,,,,50,49.68177,,,,2021-06-23T13:15:40.38+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
53,26049363,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2017,RESIDENCEAREATYPE,TOTL,,,,,,,60,59.58415,,,,2021-06-23T13:15:40.397+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
