,Unnamed: 0,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20,21,26061679,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2006,RESIDENCEAREATYPE,URB,,,,,,,60.0,60.10402,,,,2021-06-23T13:20:37.79+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
21,22,26061680,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.803+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
22,23,26061681,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.82+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
23,24,26061682,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,URB,,,,,,,60.0,59.90218,,,,2021-06-23T13:20:37.85+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
24,25,26061683,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.867+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25,26,26061684,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.9+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
26,27,26061685,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,URB,,,,,,,60.0,59.70022,,,,2021-06-23T13:20:37.93+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
27,28,26061686,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:37.947+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
28,29,26061687,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:37.96+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
29,30,26061688,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,URB,,,,,,,59.0,59.49814,,,,2021-06-23T13:20:37.99+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
30,31,26061689,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.023+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
31,32,26061690,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
32,33,26061691,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,URB,,,,,,,59.0,59.29595,,,,2021-06-23T13:20:38.057+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
33,34,26061692,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.087+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
34,35,26061693,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.103+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
35,36,26061694,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,URB,,,,,,,59.0,59.09364,,,,2021-06-23T13:20:38.133+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
36,37,26061695,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.167+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
37,38,26061696,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.18+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
38,39,26061697,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2012,RESIDENCEAREATYPE,URB,,,,,,,59.0,58.89122,,,,2021-06-23T13:20:38.197+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
39,40,26061698,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.243+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
40,41,26061699,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.273+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
41,42,26061700,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2013,RESIDENCEAREATYPE,URB,,,,,,,59.0,58.68868,,,,2021-06-23T13:20:38.29+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
42,43,26061701,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.32+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
43,44,26061702,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.337+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
44,45,26061703,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2014,RESIDENCEAREATYPE,URB,,,,,,,58.0,58.48603,,,,2021-06-23T13:20:38.353+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
45,46,26061704,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.383+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
46,47,26061705,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.413+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
47,48,26061706,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2015,RESIDENCEAREATYPE,URB,,,,,,,58.0,58.28326,,,,2021-06-23T13:20:38.43+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
48,49,26061707,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,RUR,,,,,,,,,,,,2021-06-23T13:20:38.46+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
49,50,26061708,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,,,,,,2021-06-23T13:20:38.477+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
50,51,26061709,WSH_WATER_SAFELY_MANAGED,COUNTRY,KEN,YEAR,2016,RESIDENCEAREATYPE,URB,,,,,,,58.0,58.08037,,,,2021-06-23T13:20:38.493+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
